UI,groupID,relationshipCode,memberID,primaryID,prefixName,firstName,middleInitial,lastName,suffixName,gender,dob,address1,address2,address3,city,state,zip,countryCode,homePhone,cellPhone,workPhone,language,email,effectiveDate,termDate,healthPlanID,healthPlanName,reportingCategory1,reportingCategory2,providerNPI,providerName,providerAddress1,providerAddress2,providerAddress3,providerCity,providerState,providerZip,providerCountryCode,providerPhone,providerFax,responsiblePartyFirstName,responsiblePartyLastName,responsiblePartyPhone
UI,OZGAF559367WDTIP,0,038305889,038305889,,Caroline,,Jones,,F,1921-08-27,'56601 Collins Circle, Apt. 829',,,Elizabethhaven,AZ,85421.0,,001-631-708-2170x178,+1-894-389-8540x0319,+1-796-254-9311x479,E,smartinez@yahoo.com,2011-07-24,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,2,745-98-7128,038305889,Mrs.,Molly,,Jones,MD,F,1978-10-20,56601 Collins Circle, Apt. 829,,,Elizabethhaven,AZ,85421.0,,001-631-708-2170x178,001-021-854-5693x1189,+1-796-254-9311x479,,michael49@yahoo.com,2011-07-24,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,3,574-44-3267,038305889,,Lawrence,T,Jones,,M,2007-07-27,56601 Collins Circle, Apt. 829,,,Elizabethhaven,AZ,85421.0,,001-631-708-2170x178,+1-670-647-9330x096,+1-796-254-9311x479,S,bowmanshelia@bowen-king.com,2011-07-24,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,0,815969282,815969282,,Mary,,'O''donnell',,F,1964-12-08,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,000.815.6675,037.189.9068x2138,,leroyray@hotmail.com,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,1,440981756,815969282,Dr.,Andrew,K,'O'donnell',,M,1968-12-27,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,103.159.6521,037.189.9068x2138,,deborahwilliams@palmer.com,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,3,317492801,815969282,,Nicholas,I,'O''donnell',,M,2016-06-10,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,(533)734-1878,037.189.9068x2138,S,qacosta@jones-houston.com,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,3,829678719,815969282,,Tim,V,'O''donnell',,M,2019-07-01,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,+1-720-722-6122x134,037.189.9068x2138,E,kevin58@best-foley.net,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,3,644-01-5916,815969282,,Mitchell,P,O''donnell,,M,2007-01-21,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,2362497350,037.189.9068x2138,E,paige33@burke.com,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,3,045068509,815969282,,Jesse,,O''donnell,,M,2009-09-20,'034 Mary Vista, Suite 555',,,New George,ID,83809.0,USA,0969819381,583-660-3178x6259,037.189.9068x2138,,gcarroll@yahoo.com,2012-12-17,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,0,778794074,778794074,Mrs.,Brit,,Dawson,,F,1937-03-20,2919 Wilson Lock,,,Dakotaland,UT,84132.0,,+1-095-822-2892x6374,745-294-1160x49933,509-787-4966x89405,,sharon26@yahoo.com,2020-04-13,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
UI,OZGAF559367WDTIP,1,255-73-7342,778794074,,Travis,V,Dawson,,M,1911-04-03,2919 Wilson Lock,,,Dakotaland,UT,84132.0,,+1-095-822-2892x6374,(072)447-3843x1134,509-787-4966x89405,S,pinedachloe@hotmail.com,2020-04-13,,OZGAF559367WDTIP,beautiful often,,,,,,,,,,,,,,,,
